Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Combined_Topic,Text
57205476414; 57225707241; 57226874386; 57264611000; 57225194263; 36574515800; 57224793856,Smart Tourism Ecosystem: A New Dimension toward Sustainable Value Co-Creation,2022,changes in information technology have a great influence on people s preferences and lifestyles smart devices and technologies have taken the conventional way of traveling into a smart tourism system the aim of this paper is to examine smart tourism the integration of different activities of different tourism service providers and their interactions with tourists it also finds out the smart tourism tools how they are being used by different actors how the tourist and the network perceived and interact with them for making up a smart tourism ecosystem and finally how they create the sustainable value co created services this paper is qualitative in nature and used a holistic approach the data were collected through interviews of 24 service providers and 50 service receivers mainly tourists from the study area bangladesh study shows that there are three phases by which actors are communicating with each other comprising pre service delivery during service delivery and post service delivery smart tourism tools are being used throughout the phases which eventually create value in co created services with three pillars of sustainability economic socio cultural and environmental this study will contribute to the existing body of knowledge in the field of smart tourism value co creation and sustainability 2022 by the authors,bangladesh information technology knowledge perception sustainability tourism smart ecosystem smart experiences smart tourism sustainability value co creation,English,Review,203,11,Data_Analysis,changes in information technology have a great influence on people s preferences and lifestyles smart devices and technologies have taken the conventional way of traveling into a smart tourism system the aim of this paper is to examine smart tourism the integration of different activities of different tourism service providers and their interactions with tourists it also finds out the smart tourism tools how they are being used by different actors how the tourist and the network perceived and interact with them for making up a smart tourism ecosystem and finally how they create the sustainable value co created services this paper is qualitative in nature and used a holistic approach the data were collected through interviews of 24 service providers and 50 service receivers mainly tourists from the study area bangladesh study shows that there are three phases by which actors are communicating with each other comprising pre service delivery during service delivery and post service delivery smart tourism tools are being used throughout the phases which eventually create value in co created services with three pillars of sustainability economic socio cultural and environmental this study will contribute to the existing body of knowledge in the field of smart tourism value co creation and sustainability 2022 by the authors bangladesh information technology knowledge perception sustainability tourism smart ecosystem smart experiences smart tourism sustainability value co creation
58034601900; 58034602000,Knowledge Map of Chinese Tourists Travelling to Thailand: Based on the Bibliometric Method,2022,chinese tourists have essential economic and cultural exchange values for thai tourism the present research on chinese tourists traveling to thailand cttt has made a significant breakthrough but it rarely observes the research status quo hot spots and the future based on bibliometric methods and visualization technology based on 710 articles on the web of science wos cite space visualization technology was used to analyze the publishing trend of cttt authors institutions countries keywords and categories and build a knowledge map about cttt the study found that although the positive trend of published articles indicates excellent future development the overall number of published articles is not ideal moreover research on this topic has made significant progress and breakthroughs in the healthcare field meaning that there is still much research space in the business and economic areas thai institutions and scientific research institutions and their scholars have significantly contributed to cttt they focus more on healthcare disease health sexual safety and equality in travel although there is an increasing focus on consumer behavior habits and models however the research on cttt under the background of the digital economy sharing economy big data artificial intelligence and the covid 19 pandemic is of great research value therefore this study encourages different countries institutions and scholars to do more on this topic furthermore interdisciplinary research is even more critical 2022,bibliometric method chinese tourists knowledge map thailand tourism tourism economy tourism market visualization technology,English,Article,226,11,Data_Analysis,chinese tourists have essential economic and cultural exchange values for thai tourism the present research on chinese tourists traveling to thailand cttt has made a significant breakthrough but it rarely observes the research status quo hot spots and the future based on bibliometric methods and visualization technology based on 710 articles on the web of science wos cite space visualization technology was used to analyze the publishing trend of cttt authors institutions countries keywords and categories and build a knowledge map about cttt the study found that although the positive trend of published articles indicates excellent future development the overall number of published articles is not ideal moreover research on this topic has made significant progress and breakthroughs in the healthcare field meaning that there is still much research space in the business and economic areas thai institutions and scientific research institutions and their scholars have significantly contributed to cttt they focus more on healthcare disease health sexual safety and equality in travel although there is an increasing focus on consumer behavior habits and models however the research on cttt under the background of the digital economy sharing economy big data artificial intelligence and the covid 19 pandemic is of great research value therefore this study encourages different countries institutions and scholars to do more on this topic furthermore interdisciplinary research is even more critical 2022 bibliometric method chinese tourists knowledge map thailand tourism tourism economy tourism market visualization technology
55344759300; 6506703671; 56071267400,RECOVERY PATHS AFTER CRISIS: RISK INTELLIGENCE AS ANTECEDENT OF ENTREPRENEURS' RESILIENCE,2022,in recent years markets have been hit by various crises both economically and naturally these shocks have highlighted how important it is for companies to be able to adapt with resilient behaviors entrepreneurs and their resilience capacity will play a very important role in the recovery process resilience is closely linked to other abilities such as risk intelligence that is the ability to look at uncertainty as an opportunity rather than a disadvantage or danger the study assesses the relationship between these two constructs using a sample of entrepreneurs in the tourism sector within italy analysis confirmed a relationship between subjective risk intelligence and resilience these relations are explained by taking into consideration four aspects imaginative capacity problem solving self efficacy attitude toward uncertainty and emotional stress management included in risk intelligence highlighting which of them contributed to explaining the three dimensions of the resilience construct hardiness resourcefulness and optimism 2022 world scientific publishing company,recovery resilience risk intelligence tourism,English,Article,154,0,Tema_0,in recent years markets have been hit by various crises both economically and naturally these shocks have highlighted how important it is for companies to be able to adapt with resilient behaviors entrepreneurs and their resilience capacity will play a very important role in the recovery process resilience is closely linked to other abilities such as risk intelligence that is the ability to look at uncertainty as an opportunity rather than a disadvantage or danger the study assesses the relationship between these two constructs using a sample of entrepreneurs in the tourism sector within italy analysis confirmed a relationship between subjective risk intelligence and resilience these relations are explained by taking into consideration four aspects imaginative capacity problem solving self efficacy attitude toward uncertainty and emotional stress management included in risk intelligence highlighting which of them contributed to explaining the three dimensions of the resilience construct hardiness resourcefulness and optimism 2022 world scientific publishing company recovery resilience risk intelligence tourism
57240519100; 58079814600; 57217017824,Content-Driven Tourism: A Model of its Precursors for Impulse Buying and Tourist Behavior Intentions,2022,user generated content ugc is considered the most authentic source by any consumer in the case of tourism being the service industry the role of such content has transformed travel the current study aims to examine the role of various promotional tools carrying ugc in influencing impulse buying ib and the behavioural intention bi of tourists using a modified scale a sample of 410 tourists was taken using nonprobability purposive sampling an analytical approach following structured equation modelling sem was employed on smart pls 3 an original integrated model is developed and tested results show that the independent variables website attributes was and social media sm significantly impact the dependent variables i e bi and ib although eword of mouth ewom did not affect bi a significant impact was found on ib the partial mediating role of bi was observed in the relationship of sm and was on ib research and managerial implications are also discussed 2022 journal of content community and communication all rights reserved,behavioural intention ewom impulse buying sem social media website attributes,English,Article,164,9,Sustainability,user generated content ugc is considered the most authentic source by any consumer in the case of tourism being the service industry the role of such content has transformed travel the current study aims to examine the role of various promotional tools carrying ugc in influencing impulse buying ib and the behavioural intention bi of tourists using a modified scale a sample of 410 tourists was taken using nonprobability purposive sampling an analytical approach following structured equation modelling sem was employed on smart pls 3 an original integrated model is developed and tested results show that the independent variables website attributes was and social media sm significantly impact the dependent variables i e bi and ib although eword of mouth ewom did not affect bi a significant impact was found on ib the partial mediating role of bi was observed in the relationship of sm and was on ib research and managerial implications are also discussed 2022 journal of content community and communication all rights reserved behavioural intention ewom impulse buying sem social media website attributes
57759753400; 7402256956; 8535443700,Transformational tourism – a systematic literature review and research agenda,2022,purpose this paper aims to examine critically the literature on transformational tourism and explore a research agenda for a post covid future design methodology approach a systematic review of the transformational tourism literature is performed over a 42 year period from 1978 to 2020 findings further research is required in terms of how transformative experiences should be calibrated and measured both in qualitative and quantitative terms particularly from the perspective of how tourists are transformed by their experiences similarly the nature and depth of these transformative processes remain poorly understood particularly given the many different types of tourism associated with transformative experiences which range from religious pilgrimages to backpacking and include several forms of ecotourism practical implications future research directions for transformational tourism are discussed with regard to how covid 19 will transform the dynamics of tourism and travel including the role of new smart technologies in the creation of enhanced transformational experiences and the changing expectations and perceptions of transformative travel in the post covid era in addition the researchers call for future studies on transformational tourism to explore the role of host communities in the delivery of meaningful visitor experiences originality value transformational tourism is an emerging body of research which has attracted a growing level of interest among tourism scholars in recent years however to this date a systematic review of published literature in this field has not been conducted yet in a holistic sense this paper offers a framework for future research in this field 2022 roshini nandasena alastair m morrison and j andres coca stefaniak,literature review research agenda transformational tourism,English,Article,253,11,Data_Analysis,purpose this paper aims to examine critically the literature on transformational tourism and explore a research agenda for a post covid future design methodology approach a systematic review of the transformational tourism literature is performed over a 42 year period from 1978 to 2020 findings further research is required in terms of how transformative experiences should be calibrated and measured both in qualitative and quantitative terms particularly from the perspective of how tourists are transformed by their experiences similarly the nature and depth of these transformative processes remain poorly understood particularly given the many different types of tourism associated with transformative experiences which range from religious pilgrimages to backpacking and include several forms of ecotourism practical implications future research directions for transformational tourism are discussed with regard to how covid 19 will transform the dynamics of tourism and travel including the role of new smart technologies in the creation of enhanced transformational experiences and the changing expectations and perceptions of transformative travel in the post covid era in addition the researchers call for future studies on transformational tourism to explore the role of host communities in the delivery of meaningful visitor experiences originality value transformational tourism is an emerging body of research which has attracted a growing level of interest among tourism scholars in recent years however to this date a systematic review of published literature in this field has not been conducted yet in a holistic sense this paper offers a framework for future research in this field 2022 roshini nandasena alastair m morrison and j andres coca stefaniak literature review research agenda transformational tourism
55544470000; 57221054687; 14038614700; 6506519426,Accessibility and Public Transport Mobility for a Smart(er) Island: Evidence from Sardinia (Italy),2022,the purpose of this paper is to highlight the critical aspects of islands context transportation accessibility by suggesting a more innovative safer and more sustainable framework for public transport service pts and place based organisation as well as by integrating the latest tendencies in mobility specifically this research focuses on multimodal integration models for pts that consider the existing infrastructure system and the socioeconomic issues typical of an island environment this topic has received inadequate consideration in the scientific literature on islands to achieve these aims an analytical numerical approach is adopted starting from initial origin destination matrices o d surveyed by the national institute of statistics istat a methodology was implemented to compute the geographical distribution of trips and thereafter the values distributed over the whole region were interpolated by surfer software with the kriging method this methodology was applied to the sardinia case study particularly emblematic because it has seen a tremendous transition over the previous decades resulting in a massive socio economic gap between inland and coastal areas that led to an increase in private vehicles for transportation purposes primarily for business and pleasure the application replicable in other islands that have highlighted the same socio economic problems linked to poor mobility planning shows an accessible spatial planning approach combining pts and rental for driver services by considering the principles and issues of island contexts this research gives an important scientific contribution by emphasising the quality of transport infrastructures place based organisation population distribution and physical configuration of the insular region as well as by considering the most pressing issues of island contexts findings could help island governments in revising their policy and practice of transport accordingly 2022 elsevier ltd,accessibility place based organization public transport service sardinia transport system smart and sustainable island italy sardinia economics accessibility place based place based organization public transport public transport service sardinia sardinia transport system smart and sustainable island socio economics transport systems accessibility implementation process organizational framework public transport spatial analysis transportation system travel behavior geographical distribution,English,Article,277,4,Data_Analysis,the purpose of this paper is to highlight the critical aspects of islands context transportation accessibility by suggesting a more innovative safer and more sustainable framework for public transport service pts and place based organisation as well as by integrating the latest tendencies in mobility specifically this research focuses on multimodal integration models for pts that consider the existing infrastructure system and the socioeconomic issues typical of an island environment this topic has received inadequate consideration in the scientific literature on islands to achieve these aims an analytical numerical approach is adopted starting from initial origin destination matrices o d surveyed by the national institute of statistics istat a methodology was implemented to compute the geographical distribution of trips and thereafter the values distributed over the whole region were interpolated by surfer software with the kriging method this methodology was applied to the sardinia case study particularly emblematic because it has seen a tremendous transition over the previous decades resulting in a massive socio economic gap between inland and coastal areas that led to an increase in private vehicles for transportation purposes primarily for business and pleasure the application replicable in other islands that have highlighted the same socio economic problems linked to poor mobility planning shows an accessible spatial planning approach combining pts and rental for driver services by considering the principles and issues of island contexts this research gives an important scientific contribution by emphasising the quality of transport infrastructures place based organisation population distribution and physical configuration of the insular region as well as by considering the most pressing issues of island contexts findings could help island governments in revising their policy and practice of transport accordingly 2022 elsevier ltd accessibility place based organization public transport service sardinia transport system smart and sustainable island italy sardinia economics accessibility place based place based organization public transport public transport service sardinia sardinia transport system smart and sustainable island socio economics transport systems accessibility implementation process organizational framework public transport spatial analysis transportation system travel behavior geographical distribution
58141907600,Who Cares about Jellyfish? An Environmental Legacy of the Suez Canal Begins to Surface,2022,on june 24 2015 a huge swarm of jellyfish clogged the cooling system of an israeli coal fueled power plants located on the mediterranean shoreline almost forcing a shutdown images from the event displayed tons of pale blue translucent jellies lumped together in a container and spread over the factory floor after being removed from the cooling system filter the spectacular incident prompted speculation that the jellyfish were foreign agents sent from egypt to sabotage israeli security it may seem laughable but this is not the first time that non humans have figured as agents and national security threats in geopolitical dramas in the middle east in 2010 following repeated shark attacks on tourists in one of egypt s red sea resorts sharm el sheikh the governor of south sinai told the media he could not rule out the possibility of the attacking shark being remotely controlled by the israeli intelligence agency mossad in this context foreign underwater jellyfish armies are nothing out of the ordinary copyright the author s 2023 published by cambridge university press,egypt suez canal cooling geopolitics jellyfish national security shark,English,Article,172,12,Urban_Sustainability,on june 24 2015 a huge swarm of jellyfish clogged the cooling system of an israeli coal fueled power plants located on the mediterranean shoreline almost forcing a shutdown images from the event displayed tons of pale blue translucent jellies lumped together in a container and spread over the factory floor after being removed from the cooling system filter the spectacular incident prompted speculation that the jellyfish were foreign agents sent from egypt to sabotage israeli security it may seem laughable but this is not the first time that non humans have figured as agents and national security threats in geopolitical dramas in the middle east in 2010 following repeated shark attacks on tourists in one of egypt s red sea resorts sharm el sheikh the governor of south sinai told the media he could not rule out the possibility of the attacking shark being remotely controlled by the israeli intelligence agency mossad in this context foreign underwater jellyfish armies are nothing out of the ordinary copyright the author s 2023 published by cambridge university press egypt suez canal cooling geopolitics jellyfish national security shark
57936152400; 57191486266; 56331529300,"MOBILITY RESILIENCE OF COMMUTE TRIPS DURING THE COVID-19 PANDEMIC IN SEOUL, KOREA",2022,since early 2020 the number of covid 19 cases has continued its rise and fall worldwide greatly impacting sectors such as health outcomes economics housing and transportation to mitigate the spread of the pandemic governments implemented various measures to reduce the mobility of the population restricting international travel hierarchical lockdowns stay at home mandates and work from home orders in this aspect early studies in the transportation field showed large changes in travel behaviour however we know less about the long term impact of covid 19 on people s travel behaviour this paper explores the change in commute behaviour during the pandemic focusing on the resilience index of transit users and its determining factors the hist gradient boosting model was the most precise when compared with linear and other machine learning models considering r2 mse mae the results suggested the following 1 commuters trips decreased unevenly in seoul through machine learning algorithms social economic factors and accessibility 50 of the heterogeneity can be explained 2 consumer and service industry and foreigner tourism were impacted negatively continually neighbourhoods with higher car ownership and a higher percentage of female residents show long term weak public transit resilience 2 short distance commuters less than 20 minutes and commuters visiting city centres returned to public transport in the second year after avoiding it during the first year of the pandemic considering the uneven negative results of covid 19 this research can be a reference for policy design and effective decision making author s 2022,adaptive boosting behavioral research decision making machine learning smart cards commute behavior health outcomes human mobility international travel long term impacts od flow resilience index smart card data spatial heterogeneity travel behaviour covid 19 commute behaviour covid 19 human mobility od flow smart card data spatial heterogeneity,English,Conference paper,240,10,Tourism_Experience,since early 2020 the number of covid 19 cases has continued its rise and fall worldwide greatly impacting sectors such as health outcomes economics housing and transportation to mitigate the spread of the pandemic governments implemented various measures to reduce the mobility of the population restricting international travel hierarchical lockdowns stay at home mandates and work from home orders in this aspect early studies in the transportation field showed large changes in travel behaviour however we know less about the long term impact of covid 19 on people s travel behaviour this paper explores the change in commute behaviour during the pandemic focusing on the resilience index of transit users and its determining factors the hist gradient boosting model was the most precise when compared with linear and other machine learning models considering r2 mse mae the results suggested the following 1 commuters trips decreased unevenly in seoul through machine learning algorithms social economic factors and accessibility 50 of the heterogeneity can be explained 2 consumer and service industry and foreigner tourism were impacted negatively continually neighbourhoods with higher car ownership and a higher percentage of female residents show long term weak public transit resilience 2 short distance commuters less than 20 minutes and commuters visiting city centres returned to public transport in the second year after avoiding it during the first year of the pandemic considering the uneven negative results of covid 19 this research can be a reference for policy design and effective decision making author s 2022 adaptive boosting behavioral research decision making machine learning smart cards commute behavior health outcomes human mobility international travel long term impacts od flow resilience index smart card data spatial heterogeneity travel behaviour covid 19 commute behaviour covid 19 human mobility od flow smart card data spatial heterogeneity
57196204611; 57483379300; 58033315800; 57907561900; 57196096256,"Characterizing Spatial-Temporal Variation of Cultural Tourism Internet Attention in Western Triangle Economic Zone, China",2022,more and more tourists tend to seek cultural enjoyment while taking trips based on their satisfied socio economic needs the spatiality of cultural tourism determines the feasibility and convenience of the access to cultural tourism resources given that spatial research on cultural tourism rarely involves the underdeveloped regions in china especially via baidu index data this study aims to explore the dynamic spatial pattern of cultural tourism internet attention based on baidu index through social network analysis i e network density centrality analysis core periphery model etc in the western triangle economic zone wtez china research findings are as follows 1 temporally the centrality is increasingly enhanced in terms of the core cities with high cultural tourism internet attention as well as their radiation effect 2 spatially the distribution pattern of cultural tourism internet attention is shifting from polarization to equilibrium however the overall network density still presents a mode of loose connection and fails to extend from the core triangle structure in the planar dimension 3 the cultural tourism internet attention in wtez presents an obvious core periphery pattern xi an chengdu chongqing is in a dominant position and the core area spreads from south to north 4 the spatial temporal pattern of cultural tourism internet attention in wtez is influenced by transportation reception facilities consumption ability and political environment and the main driving factors are the number of hotels per capita income total highway mileage and cultural tourism policy indicators this study is conducive to sustainable spatial planning of cultural tourism through smart data governance 2022 by the authors,culture tourism dynamic spatial pattern social network analysis web visibility wtez,English,Article,254,4,Data_Analysis,more and more tourists tend to seek cultural enjoyment while taking trips based on their satisfied socio economic needs the spatiality of cultural tourism determines the feasibility and convenience of the access to cultural tourism resources given that spatial research on cultural tourism rarely involves the underdeveloped regions in china especially via baidu index data this study aims to explore the dynamic spatial pattern of cultural tourism internet attention based on baidu index through social network analysis i e network density centrality analysis core periphery model etc in the western triangle economic zone wtez china research findings are as follows 1 temporally the centrality is increasingly enhanced in terms of the core cities with high cultural tourism internet attention as well as their radiation effect 2 spatially the distribution pattern of cultural tourism internet attention is shifting from polarization to equilibrium however the overall network density still presents a mode of loose connection and fails to extend from the core triangle structure in the planar dimension 3 the cultural tourism internet attention in wtez presents an obvious core periphery pattern xi an chengdu chongqing is in a dominant position and the core area spreads from south to north 4 the spatial temporal pattern of cultural tourism internet attention in wtez is influenced by transportation reception facilities consumption ability and political environment and the main driving factors are the number of hotels per capita income total highway mileage and cultural tourism policy indicators this study is conducive to sustainable spatial planning of cultural tourism through smart data governance 2022 by the authors culture tourism dynamic spatial pattern social network analysis web visibility wtez
57190858727; 37080883800,"Inferring origin and destination zones of transit trips through fusion of smart card transactions, travel surveys, and land-use data",2022,this paper presents a data fusion method to infer the origin and destination zones of transit trips from smart card data the fusion framework has disaggregate mixed multinomial logit models at its core that predict the most probable origin and destination zones of individual transit trips using smart card transaction records land use data and transit system characteristics the logit models are estimated using revealed trip origin and destination responses from a travel survey that are augmented by land use and transit system data to provide contexts about the zones trip generation and attraction potentials for empirical analysis the methodology is applied to the smart card system of the greater toronto and hamilton area specifically it is tested under different system configurations tap on only and tap on and off and for networks with substantial shares of automobile and walk access egress when applied to transit trips constructed from the smart card transactions the estimated models successfully capture the spatial distribution of trip origin and destination at the traffic analysis zone level the empirical analysis also demonstrates that the proposed fusion method can be appropriately used to reconcile information provided by transit smart card and travel surveys to generate up to date transit demand data necessary for public transport planning and operations 2022,data fusion logit model origin and destination zone inference transit smart card transactions land use motor transportation smart cards surveys card transactions data fusion methods destination zones empirical analysis logit models origin and destination zone inference origin and destinations transit smart card transaction transit systems travel surveys empirical analysis land use logit analysis public transport spatial distribution traffic management data fusion,English,Article,206,10,Tourism_Experience,this paper presents a data fusion method to infer the origin and destination zones of transit trips from smart card data the fusion framework has disaggregate mixed multinomial logit models at its core that predict the most probable origin and destination zones of individual transit trips using smart card transaction records land use data and transit system characteristics the logit models are estimated using revealed trip origin and destination responses from a travel survey that are augmented by land use and transit system data to provide contexts about the zones trip generation and attraction potentials for empirical analysis the methodology is applied to the smart card system of the greater toronto and hamilton area specifically it is tested under different system configurations tap on only and tap on and off and for networks with substantial shares of automobile and walk access egress when applied to transit trips constructed from the smart card transactions the estimated models successfully capture the spatial distribution of trip origin and destination at the traffic analysis zone level the empirical analysis also demonstrates that the proposed fusion method can be appropriately used to reconcile information provided by transit smart card and travel surveys to generate up to date transit demand data necessary for public transport planning and operations 2022 data fusion logit model origin and destination zone inference transit smart card transactions land use motor transportation smart cards surveys card transactions data fusion methods destination zones empirical analysis logit models origin and destination zone inference origin and destinations transit smart card transaction transit systems travel surveys empirical analysis land use logit analysis public transport spatial distribution traffic management data fusion
57217237676; 57219325338; 14054388600; 57222228540,The COVID-19 crisis and factors driving international tourists’ preferences for contactless dining services,2022,purpose the purpose of this study is to integrate the theory of planned behavior and the protection motivation theory to propose a theoretical framework for examining the influence of attitude perceived behavioral control and subjective norms on international tourists intentions to select restaurants with contactless dining services cdss as a protective behavior against covid 19 this study further tested the moderation effects of subjective norms on attitude and perceived behavioral control links with intention design methodology approach in all 344 international tourists completed questionnaires via qr coded google forms in phuket old town and patong beach in thailand data analysis was conducted by spss and smart pls partial least square findings intention to select a restaurant with cdss was influenced by attitude perceived behavioral control and subjective norms subjective norms had a significant negative moderating effect on attitude and intention links however the moderation effect of tourists subjective norms on the connection between their perceived behavioral control and intention toward restaurant dining was not proved practical implications providing cdss could be a quick solution to decrease the devastating effect of the covid 19 pandemic on the restaurant industry originality value this study incorporated cdss to expand the application of the integrated model of theory of planned behavior and protection motivation theory as a theoretical basis in the restaurant industry to explain how international tourists behavioral choices may change during the pandemic in thailand this study also contributes to the travel risk literature by highlighting the influence of attitude anchored on risk and efficacy beliefs perceived vulnerability severity and response efficacy in predicting protective behavioral intention 2022 emerald publishing limited,perceived response efficacy perceived severity perceived vulnerability restaurant contactless dining services thailand theory of planned behavior,English,Article,263,9,Sustainability,purpose the purpose of this study is to integrate the theory of planned behavior and the protection motivation theory to propose a theoretical framework for examining the influence of attitude perceived behavioral control and subjective norms on international tourists intentions to select restaurants with contactless dining services cdss as a protective behavior against covid 19 this study further tested the moderation effects of subjective norms on attitude and perceived behavioral control links with intention design methodology approach in all 344 international tourists completed questionnaires via qr coded google forms in phuket old town and patong beach in thailand data analysis was conducted by spss and smart pls partial least square findings intention to select a restaurant with cdss was influenced by attitude perceived behavioral control and subjective norms subjective norms had a significant negative moderating effect on attitude and intention links however the moderation effect of tourists subjective norms on the connection between their perceived behavioral control and intention toward restaurant dining was not proved practical implications providing cdss could be a quick solution to decrease the devastating effect of the covid 19 pandemic on the restaurant industry originality value this study incorporated cdss to expand the application of the integrated model of theory of planned behavior and protection motivation theory as a theoretical basis in the restaurant industry to explain how international tourists behavioral choices may change during the pandemic in thailand this study also contributes to the travel risk literature by highlighting the influence of attitude anchored on risk and efficacy beliefs perceived vulnerability severity and response efficacy in predicting protective behavioral intention 2022 emerald publishing limited perceived response efficacy perceived severity perceived vulnerability restaurant contactless dining services thailand theory of planned behavior
57117396100,Methods and techniques in creative tourism: Why technologies are so relevant to achieve creativity?,2022,geotechnologies have a long tradition in several areas of society and research the recent development of the internet of everything ioe and geographic information systems gis technologies opened several doors to the contribution of tourism emergent technologies contributions to tourism and planning such as web mapping augmented reality ar crowdsourcing and crowdsensing are relatively recent and there is a lack of research around their potential for creative tourism enhancement for example combining web mapping with ar or storytelling can be an excellent contribution to operators planners and tourists for research purposes new opportunities are open particularly by integrating community shared data it is well known for the popularity of social networks the exponential growth of photo sharing but few studies have been implemented to understand their contribution to research this chapter focuses on emerging geotechnologies concerning cultural mapping creative tourism and sustainability since it is a new growing niche more research is needed to develop and understand the potential of new approaches besides traditional techniques such as quantitative e g surveys and qualitative ones e g interviews focus groups and world cafe it revises the role of geotechnologies on creative tourism development and growing activities results from case studies from europe are analysed 2022 vitor ribeiro all rights reserved,big data cloud computing digital transformation geotechnologies immersive technologies smart tourism,English,Book chapter,207,11,Data_Analysis,geotechnologies have a long tradition in several areas of society and research the recent development of the internet of everything ioe and geographic information systems gis technologies opened several doors to the contribution of tourism emergent technologies contributions to tourism and planning such as web mapping augmented reality ar crowdsourcing and crowdsensing are relatively recent and there is a lack of research around their potential for creative tourism enhancement for example combining web mapping with ar or storytelling can be an excellent contribution to operators planners and tourists for research purposes new opportunities are open particularly by integrating community shared data it is well known for the popularity of social networks the exponential growth of photo sharing but few studies have been implemented to understand their contribution to research this chapter focuses on emerging geotechnologies concerning cultural mapping creative tourism and sustainability since it is a new growing niche more research is needed to develop and understand the potential of new approaches besides traditional techniques such as quantitative e g surveys and qualitative ones e g interviews focus groups and world cafe it revises the role of geotechnologies on creative tourism development and growing activities results from case studies from europe are analysed 2022 vitor ribeiro all rights reserved big data cloud computing digital transformation geotechnologies immersive technologies smart tourism
57216042051; 6505536041; 23493634300; 57748061100,How can smart mobility bridge the first/last mile gap? Empirical evidence on public attitudes from Australia,2022,under the umbrella concept of smart mobility new transport innovations such as peer to peer transport shared autonomous vehicles and mobility as a service have been identified for their potential to improve accessibility and bridge the first last mile gap between origin destination and good quality public transport any future mobility plan nevertheless will need to appeal to a population reluctant to break habits this study explores quantitative data collected from major australian cities to provide a geographic context between attitudes towards smart mobility with a particular focus on eight attitudinal factors i e technology public transport sharing multimodality peer to peer transport smart phones and apps environmental consciousness and reducing private vehicle use the quantitative analysis disclosed that regardless of location overcoming private vehicle use user aversion to multimodality and reluctance to share rides with strangers presence significant barriers to some smart mobility options furthermore respondents in inner ring areas of cities have more positive views towards public transport the environment and smart phones while the middle outer ring residents on the contrary have more positive views towards private vehicles the study findings offer policy insights and potential opportunities and challenges associated with the implementation of smart mobility in urban areas 2022 elsevier ltd,australia first last mile gap mobility as a service maas public transport smart mobility transport disadvantage australia bridge innovation mobile phone mobility public attitude public transport unmanned vehicle urban transport,English,Article,194,4,Data_Analysis,under the umbrella concept of smart mobility new transport innovations such as peer to peer transport shared autonomous vehicles and mobility as a service have been identified for their potential to improve accessibility and bridge the first last mile gap between origin destination and good quality public transport any future mobility plan nevertheless will need to appeal to a population reluctant to break habits this study explores quantitative data collected from major australian cities to provide a geographic context between attitudes towards smart mobility with a particular focus on eight attitudinal factors i e technology public transport sharing multimodality peer to peer transport smart phones and apps environmental consciousness and reducing private vehicle use the quantitative analysis disclosed that regardless of location overcoming private vehicle use user aversion to multimodality and reluctance to share rides with strangers presence significant barriers to some smart mobility options furthermore respondents in inner ring areas of cities have more positive views towards public transport the environment and smart phones while the middle outer ring residents on the contrary have more positive views towards private vehicles the study findings offer policy insights and potential opportunities and challenges associated with the implementation of smart mobility in urban areas 2022 elsevier ltd australia first last mile gap mobility as a service maas public transport smart mobility transport disadvantage australia bridge innovation mobile phone mobility public attitude public transport unmanned vehicle urban transport
