Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Topic_Category
13104305800; 57729268600; 8289452500; 59128802600; 59129371400; 7003798680,Climate change effects on animal presence in the Massaciuccoli Lake basin,2024,"Big-data mining approaches based on Artificial Intelligence models can help forecast biodiversity changes before they happen. These approaches can predict macroscopic species distribution patterns and trends that can inform preventive measures to avoid the loss of ecosystem functions and services. They can, therefore, help study and mitigate climate change implications on biodiversity conservation in fragile ecosystems. Wetlands are particularly fragile ecosystems where climate change poses severe risks and has dramatically reduced their size over the past century, with profound consequences on biodiversity and ecosystem services. Through big-data mining approaches, we can predict future wetland biodiversity trends in the context of climate change. This paper proposes such predictive analysis for a specific wetland: The Massaciuccoli Lake basin in Tuscany, Italy. This basin is a critical tourist attraction due to its rich biodiversity, making it an area of interest for citizens, tourists, and scientists. However, the region's suitability for native and non-native species is at risk due to climate and land-use change. Using machine-learning models, we predict the potential effects of climate change on animal spatial distribution in the basin under different greenhouse gas emission scenarios. The results suggest that habitat suitability has generally improved from 1950 to today, presumably owing to the targeted conservation strategies adopted in the area, but climate change will severely reduce bird biodiversity by 2050 while favouring several insect species' proliferation and other species' habitat change, even under a medium-emission scenario. This will lead to significant changes in the basin's biodiversity. Our methodology is adaptable to other wetland basins, being fully based on open data and models. The spatially explicit modelling used in this research provides valuable information for policymakers and spatial planners, complementing traditional biodiversity trend analyses. © 2024 The Author(s)","Artificial intelligence; Ecological niche modelling; Maximum entropy; Open Science; Species richness; Wetlands, Italy; Lake Massaciuccoli; Lucca; Tuscany; artificial intelligence; biodiversity; climate change; climate effect; ecological modeling; ecosystem function; ecosystem service; greenhouse gas; maximum entropy analysis; spatial distribution; species richness; tourist attraction; wetland",English,Article,285,11,Rural Resource Management
57733237100; 58562750500; 58111088700; 57222464381,From sustainable to regenerative tourism: Study on Chinese hospitality industry,2024,"The hospitality industry has been debating the merits of sustainable tourism for some time, but more and more people are becoming interested in regenerative tourism. The concept of regenerative tourism goes beyond that of sustainable tourism in that it seeks to restore and regenerate both the natural environment and the communities in which it operates. The Chinese hospitality industry has been expanding at a rapid rate and has the potential to adopt practices that are associated with regenerative tourism. This chapter investigated the hospitality industry of China and the shift from sustainable tourism to regenerative tourism. Consumer expectations, government programmes, and AI are driving this shift from sustainable to regenerative tourism. Despite the challenges of transitioning tourism from sustainable to regenerative, many Chinese initiatives and programmes are helping the environment and communities. © 2024 Alhamzah Alnoor, Gül Erkol Bayram, Chew XinYing and Syed Haider Ali Shah. All rights reserved.",", Artificial intelligence; Eco-tourism; Environmental; Regenerative tourism; Social sustainability; Sustainable tourism",English,Book chapter,149,3,Urban Sustainability
57209890430; 57194598647; 6603575143,The tourism fire exposure index for the European Union,2024,"The impacts of wildfires on tourism are growing, with concomitant detrimental consequences for tourists and destinations. However, only a few studies have assessed wildfires in tourism-dependent regions, and none have systematically explored fire risks. This paper summarizes the academic literature on tourism and wildfires that serves as a background for developing a tourism fire exposure index. The index identifies regions in the European Union at the NUTS2 level with high wildfire risks and high tourism dependency. Results show that exposure is exceptionally high in regions of Portugal and Mediterranean islands belonging to Greece and Spain. As vulnerabilities can be strategically reduced through adaptation, findings serve as a basis for the development of an integrated wildfire management framework for exposed destinations. © 2024 Elsevier Ltd","Climate change; European union; Fire weather; Fire-smart territory; Integrated fire management; Mediterranean; Risk management; Tourism vulnerability, Greece; Portugal; Spain; climate change; European Union; fire management; risk assessment; tourist destination; wildfire",English,Article,124,11,Rural Resource Management
57209715279; 57202731009; 6506263452; 25229981300; 58198900800; 59252071000; 57208306189; 57192418289; 6506204508,Exploring Apulia’s Regional Tourism Attractiveness through the Lens of Sustainability: A Machine Learning Approach and Counterfactual Explainability Process,2024,"Visitor attraction dynamics lead tourism industry paths. A complex artificial neural network model was built to predict the incoming tourism flow in the Apulia region of Southern Italy as a function of the heterogeneity of the tourism supply available in this area. Open data from the Regional Tourism Observatory were targeted. Information on the distribution of facilities and activities that attract regional tourist flows was collected and grouped by municipality. An artificial neural network model was built with total tourist attendance as the dependent variable and tourist attractions as regressors. The Root Mean Square Error (RMSE) was used to select the optimal model using the lowest value. The final model was run with a hidden layer consisting of three neurons and a decay value of 0.01. A Multi-Objective Counterfactual model (MOC) was then constructed using a randomly selected row of normalized data frame to validate a useful tool in increasing total tourist attendance by 20% over that of the randomly selected municipality. A Garson’s variables importance plot indicated natural landscapes such as beaches, sea caves, and natural parks have a primary role expressed in terms of variable importance in the AI algorithm when used as an innovative methodology for evaluating tourism flows in the Apulia region. A further MOC model built using a randomly selected row of normalized data frame showed convents, libraries, historical buildings, public gardens, and museums as the top five features most modified to improve total attendance in a randomly selected municipality. Use of AI modeling revealed that the implementation of nature-based solutions may speed up the flow of tourism in the Apulia region while also promoting sustainable social development. © 2024 by the authors.","Apulia; counterfactual analysis; global health; Italy; machine learning; neural network analysis; sustainable climate action; tourism, Italy; Puglia; artificial neural network; error analysis; historic building; museum; network analysis; sustainability; tourism management; tourist attraction",English,Article,278,3,Urban Sustainability
57196740694; 57201055554; 7402656801; 23035028500; 57208153877; 40361380800,Revitalizing plastic wastes employing bio-circular-green economy principles for carbon neutrality,2024,"The use of plastics has become deeply ingrained in our society, and there are no indications that its prevalence will decrease in the foreseeable future. This article provides a comprehensive overview of the global plastic waste disposal landscape, examining it through regional perspectives, various management technologies (dumping or landfilling, incineration, and reuse and recycling), and across different sectors including agriculture and food, textile, tourism, and healthcare. Notably, this study compiles the findings on life-cycle carbon footprints associated with various plastic waste management practices as documented in the literature. Employing the bio-circular-green economy model, we advocate for the adoption of streamlined and sustainable approaches to plastic management. Unique management measures are also discussed including the utilization of bioplastics combined with smart and efficient collection processes that facilitate recycling, industrial composting, or anaerobic digestion. Moreover, the integration of advanced recycling methods for conventional plastics with renewable energy, the establishment of plastic tax and credits, and the establishment of extended producer responsibility are reviewed. The success of these initiatives relies on collaboration and support from peers, industries, and consumers, ultimately contributing to informed decision-making and fostering sustainable practices in plastic waste management. © 2024 Elsevier B.V.","Bioplastics; Carbon footprint; Decarbonization; Life-cycle analysis; Net-zero carbon; Strategy, Carbon; Carbon Footprint; Plastics; Recycling; Refuse Disposal; Waste Management; Anaerobic digestion; Decision making; Elastomers; Emission control; Life cycle; Plastic recycling; Reinforced plastics; Waste disposal; Waste incineration; carbon; plastic; Bio-plastics; Carbon neutralities; Decarbonisation; Green economies; Life cycle analysis; Management technologies; Net-zero carbon; Plastics waste; Strategy; Zero carbons; carbon footprint; green economy; life cycle analysis; plastic waste; recycling; strategic approach; waste disposal; agriculture; carbon footprint; dumping; environmental impact; extended producer responsibility; green chemistry; health care; incineration; landfill; plastic waste; recycling; Review; textile industry; tourism; waste disposal; carbon footprint; chemistry; economics; procedures; recycling; waste management; Carbon footprint",English,Review,193,11,Rural Resource Management
57902582700; 57224193882; 57963380700; 59236449400,"Spatial Differentiation Characteristics, Driving Mechanisms, and Governance Strategies of Rural Poverty in Eastern Tibet",2024,"Rural areas in Tibet, with its complex terrain, fragile ecology, and poor facilities, are subject to a combination of social–ecological system elements, facing the typical risks of recurrent, marginal, and potential poverty. At present, the spatial differentiation and driving mechanism of rural spatial poverty risk in Tibet are not clear, which adversely affects the formulation of differentiated and precise governance strategies. Thus, based on the social–ecological system perspective, 967 poor rural villages in eastern Tibet were taken as an example, using intelligent techniques such as random forest, geographic detector, and multi-scale geographically weighted regression to identify the spatial differentiation characteristics and the driving mechanism of poverty. The results indicated that (1) the high poverty incidence of rural areas in eastern Tibet showed a scattered block distribution, of which approximately 37% of the villages presented a spatial distribution characterised by a high degree of clustering of the high poverty incidence. (2) Topography and the level of public facilities were key factors influencing the poverty levels of rural areas in eastern Tibet, in which the coupling explanatory power between the construction land slope index (CLSI) and several poverty-causing factors was high. (3) Geological disaster, land surface temperature, CLSI, traffic accessibility, livestock resources, cropland per capita, and tourism resources differentially drove the poverty incidence of rural areas in eastern Tibet, forming spatial partitions dominated by the risks of potential, marginal, and recurrent poverty. For different partitions, differentiated governance strategies of upgrading ecological environments, optimising geographical locations, and revitalising social resources were proposed to provide references for solving the problem of relative poverty in the new period. © 2024 by the authors.","China; Xizang; agricultural production; differentiation; livestock; poverty alleviation; rural transport; spatial distribution; surface temperature; topography; tourism; village, driving mechanism; eastern Tibet; multi-scale geographically weighted regression; random forest; rural poverty; social–ecological systems; spatial differentiation",English,Article,268,11,Rural Resource Management
59138819300; 57207262528; 36598005500,Assessing the impact of electric vehicles in Mexico's electricity sector and supporting policies,2024,"This work introduces electric vehicle charging load profiles across cities in Mexico and quantifies the expected hourly load increase in the electric grid by 2040. It begins by evaluating different growth projections and resolving them onto the most significant urban centers, followed by developing expected charging profiles based on origin-destination surveys. A suite of policies such as energy efficiency, demand response, and smart charging are modeled across seven scenarios to evaluate their impact in mitigating electric vehicle load increase and assessed in terms of their potential to be used as instrumental grid–transportation policies. Our findings show that peak load can be reduced by more than 3 GW (∼4.5% of total demand) through the enactment of energy efficiency policies and demand response in non-transportation sectors, coupled with electric vehicle smart charging. We conclude this contribution by summarizing the challenges and opportunities of adopting electric vehicles and the policies to reduce stress in Mexico's power grid. © 2024 Elsevier Ltd",", Electric loads; Energy efficiency; Urban growth; Charging load profiles; Demand response; Electric grids; Electric vehicle charging; Electricity sector; Growth projections; Hourly load; Me-xico; Smart charging; Supporting policies; Electric vehicles",English,Letter,158,4,Mobility and Transportation
59224663200; 57200215311; 55875109900,"Effects of Nature-Based Solutions on Mental Well-Being—The Case of Urban Parks in Marivan, Iran",2024,"The importance of urban parks for improving the quality of life of residents is becoming increasingly clear as people interact less and less with nature. Urban parks should be designed to have a profound impact on the mental health and well-being of citizens through the provision of high-quality facilities and services. Nevertheless, there are differences in the influencing factors in urban parks. Nowadays, urban parks as the lungs of cities are considered important destinations for citizens to get rid of stress and mental fatigue. Therefore, it is important to understand what factors contribute to people feeling mentally better and improving their well-being. Based on people’s experiences and opinions, the present study aims to investigate how urban parks as nature-based solutions in Marivan City, Iran, especially the green infrastructure and its elements in Shano and Zaribar Parks, contribute to respondent’s mental health and overall well-being. The necessary data for this study were collected from 277 respondents using a questionnaire. The questionnaire was randomly distributed both in person and online. The questions were categorized based on 3 indicators directly related to mental health and well-being: perceptual, visual, and functional. Data were analyzed using structural equation modeling in Smart-PLS software. Results indicate that the perceptual, visual, and functional indicators in Marivan’s urban parks have a significant impact on the mental health and well-being of residents. Among these indicators, the visual indicator has shown the highest level of influence. ©2024 International Society of Arboriculture.","Iran; mental health; numerical model; quality of life; urban area, Nature-Based Solutions; Structural Equation Modeling; Theater Park; Waterfront Park",English,Article,240,3,Urban Sustainability
57204894353; 57222464381; 57209359890; 57191737168,The role of artificial intelligence in regenerative tourism and green destinations,2024,"This volume takes the reader through the origins of regenerative tourism and how artificial intelligence can be utilised to develop and maintain green tourism. Chapters examine everything from marketing, data mapping, employment opportunities, cultural issues as well as what the future holds for tourism to give back to countries. © 2024 Alhamzah Alnoor, Gül Erkol Bayram, Chew XinYing and Syed Haider Ali Shah. All rights reserved.",,English,Book,66,3,Urban Sustainability
57280743700; 58078054200; 58895032500,Smart cities: Transforming Indian cities into global destinations,2024,"To provide people with a high-quality living, smart cities are modern urban conceptions. To achieve clever and sustainable practices, different technologies are conceptually grouped to form smart cities. As embodied by the four pillars of comprehensive development - institutional, physical, social, and economic infrastructure - urban planners' ultimate goal is to build the entire urban environment. The findings suggested various methods such as redevelopment, retrofitting, megaprojects, greenfield development, and unique projects for area-based development for projects having more than 500, 50, and 250 acres. Moreover, the pan development proposal is for the whole of the city by involving smart solutions to improve the infrastructure in cities. This study examines the various approaches towards smart cities in India. In addition to them, the current state and difficulties surrounding smart cities in India are also covered. © 2024 by IGI Global. All rights reserved.",,English,Book chapter,142,3,Urban Sustainability
57222659193; 59234587900; 59234588000; 59235503800,Innovative design of the regional transport system: Intellectualization and energy efficiency,2024,"The paper studies domestic and world trends of innovative development of transport system, the supporting structure of which is indicative planning, implemented by the Russian state, which, anticipating the future, stimulates the process of development of intelligent transport system (ITS), and integration of its elements at all levels of the organized business and management environment. The Russian Federation has a strong transit potential, due to which it acts as a fundamental transport and logistics center of attraction for the countries of the Eurasian continent which occupies forty percent of the land area and has a population of about five and a half billion people. The development of intelligent transport system of Russia, based on innovative technologies of transport processes and technologies of digital economy, play an important role in increasing the competitiveness of the transport complex of the country as a whole, the domestic economy has a significant impact on the expansion and deepening of mutually beneficial economic cooperation with the countries of the world. Moscow and Tatarstan have created the most complete set of modern institutions, tools and mechanisms for providing services, technical equipment and solving emerging problems of ITS. On the territory of Kaluga region an automotive cluster with three technology parks is actively developing. In addition, the following clusters are being improved: IT, composite, scientific and educational, nuclear, and tourism clusters. However, the priority of development is given to the transport and logistics cluster of the region, in which such directions of activity dominate as the improvement of railways and highways, as well as the road network as a whole, based on the development and implementation in the region of intelligent transport and telecommunication systems. The research presents basic, conceptual provisions of the perspective projection of the development of the international intelligent transport system in Russia on the example of Kaluga region.  © 2024 The Authors, published by EDP Sciences.",,English,Conference paper,313,11,Rural Resource Management
56677864500; 56803555700; 57205627088; 59212579900; 58539532800; 57387554500,"FINANCIAL MANAGEMENT OF ENTREPRENEURIAL UNIVERSITIES IN THE CONDITIONS OF DIGITALIZATION, SMART ECONOMY AND THE DEVELOPMENT OF EDUCATIONAL TOURISM",2024,"The article defines the key aspects of methodical support of financial management of entrepreneurial universities in the conditions of digitalization, smart economy and development of educational tourism. Attention is focused on the fact that at this time Ukraine faced complex phenomena caused by the invasion of the Russian Federation on the territory of our state, which caused powerful changes in all sectors, industries and industries of Ukraine. It was noted that against the background of active digitalization and financial instability, migration shifts and the flow of human resources took place. In this context, there is a need for an active policy of creating and evaluating the effectiveness of the concept of financial management of entrepreneurial universities in the conditions of digitalization, smart economy and the development of educational tourism, taking into account the challenges faced by the modern economy of Ukraine. With the use of methods of production functions, the article proposes an assessment of the financial management of entrepreneurial universities. It was noted a need to increase the financial support of entrepreneurial universities, which is important for improving the quality of education and tax revenues at the regional and state levels. Attention is focused on the phenomenon of increased outflow of students outside of Ukraine with the simultaneous outflow of teaching staff abroad. It was noted that it is the effective financial policy of supporting entrepreneurial universities that can reduce negative phenomena in education. © 2024 by the author(s).",", education; entrepreneurial universities; financial management; gross regional product; higher education nstitutions; migration; smart economy; teaching staff; tourism",English,Article,240,11,Rural Resource Management
59163092300; 59162397800; 59163318300; 57194686874,Evaluation of the Development Resilience of Tourist Attractions under the Influence of Major Public Health Events,2024,"Achieving resilient development is an important way for tourist attractions to cope with the negative impacts of major public health events, and an accurate assessment of the existing resilience level is the basis for improving the resilience of tourist attractions. Based on resilience theory, the impacts of major public health events on tourist attractions and the relationship between the impacts and the development resilience of the tourist attractions, this study uses the composite index method and DEMATEL method to construct an index system for evaluating the development resilience of tourist attractions. This evaluation index includes 20 indicators in the four dimensions of prevention ability, resistance ability, recovery ability and renewal ability, and the weight of each indicator was de-termined. The results show three important aspects of tourist attraction resilience. (1) Resistance ability is the most important dimension that reflects the resilience level of tourist attractions, followed by renewal ability and recovery ability, while prevention ability is relatively less important. (2) Tourism revenue reconstruction, mechanism innova-tion, marketing flexibility and financing ability have large positive correlations with the resilience level of tourist at-tractions. (3) Market flexibility, management decision-making level, financing ability and intelligent construction level are susceptible to other indicators, so that more attention should be paid to them in the process of improving the resilience level of tourist attractions. The index system developed in this study can provide scientifically valid guidance and a useful reference for tourist attractions to accurately examine their own issues and improve their development resilience. © 2024, Editorial office of Journal of Resources and Ecology. All rights reserved.","decision making; marketing; public health; tourist attraction, development resilience; evaluation index system; influencing factor; major public health events; tourist attractions",English,Article,261,11,Rural Resource Management
